,geotype,spectrum_limitations,id,aantal,NUMPOINTS,Shape_Area,pop_density_km2,Shape_Area_km2,Scenario,Strategy,Macro.cell.site.density,Small.cell.site.density,Existing.capacity,Spectrum.capacity,Small.cells.capacity,Capacity.surplus,Cost.per.km2,RAN.macro,RAN.small.cells,Backhaul.macro,Civil.works.macro,Civil.works.small,Cost
78,Rural 1,all_spectrum,2865,1560,1,1087832,1434.045,1.1,Scenario 1 (30 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-140.576304,26621.424,20317.104,0.0,1146.24,5158.08,0.0,29283.5664
79,Rural 1,all_spectrum,2865,1560,1,1087832,1434.045,1.1,Scenario 3 (300 Mbps),Hybrid,0.32,6.7789808,61.2,22.76976,2033.69424,0.0,120715.3722,20317.104,15176.44327,1146.24,5158.08,78917.50498,132786.9095
80,Rural 1,all_spectrum,2865,1560,1,1087832,1434.045,1.1,Scenario 3 (300 Mbps),Small Cells,0.0,6.85488,61.2,0.0,2056.464,0.0,95147.44812,0.0,15346.3626,0.0,0.0,79801.08552,104662.1929
81,Rural 1,all_spectrum,2991,12165,11,8466278,1436.877,8.5,Scenario 2 (100 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,621.91824,4859.822582,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,695718.0638
82,Rural 1,all_spectrum,2991,12165,11,8466278,1436.877,8.5,Scenario 1 (30 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,127.79664,9059.856181,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,695718.0638
83,Rural 1,all_spectrum,2991,12165,11,8466278,1436.877,8.5,Scenario 2 (100 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-5286.30504,26621.424,20317.104,0.0,1146.24,5158.08,0.0,226282.104
84,Rural 1,all_spectrum,2991,12165,11,8466278,1436.877,8.5,Scenario 2 (100 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,644.688,4666.279622,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,469435.9598
85,Rural 1,all_spectrum,2991,12165,11,8466278,1436.877,8.5,Scenario 1 (30 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,150.5664,8866.313221,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,469435.9598
86,Rural 1,all_spectrum,2991,12165,11,8466278,1436.877,8.5,Scenario 3 (300 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-17286.40104,26621.424,20317.104,0.0,1146.24,5158.08,0.0,226282.104
87,Rural 1,all_spectrum,2991,12165,11,8466278,1436.877,8.5,Scenario 1 (30 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-1086.27144,26621.424,20317.104,0.0,1146.24,5158.08,0.0,226282.104
